attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT372,YEM041,2012-03-11,4.5,0,0,0
TOT373,YEM042,2012-03-13,4.5,0,0,0
TOT374,PAKOB266,2012-03-13,7,0,0,3
TOT375,PAKOB267,2012-03-13,6.5,0,0,3
TOT376,YEM043,2012-03-18,16,0,0,0
TOT377,YEM044,2012-03-18,8,0,0,0
TOT378,YEM045,2012-03-22,29.5,0,0,24
TOT379,YEM046,2012-03-30,5,1,0,7.5
TOT380,PAKOB268,2012-03-30,3.5,0,0,3
TOT381,YEM047,2012-04-07,4,0,0,0
TOT382,YEM049,2012-04-11,12,0,0,10
TOT383,YEM050,2012-04-14,5,0,0,0
TOT384,YEM051,2012-04-16,6,0,0,0
TOT385,SOM016,2012-04-17,0,0,0,2
TOT386,YEM052,2012-04-18,8,0,0,0
TOT387,YEM053,2012-04-21,14.5,0,0,2.5
TOT388,YEM054,2012-04-22,4,0,0,0
TOT389,YEM055,2012-04-23,3,0,0,2
TOT390,YEM056,2012-04-23,2,0,0,0
TOT391,YEM057,2012-04-26,3,0,0,0
TOT392,YEM058,2012-04-29,3,0,0,0
TOT393,PAKOB269,2012-04-29,4.5,0,0,2
TOT394,YEM059,2012-04-30,4,0,0,0
TOT395,YEM060,2012-04-30,3,0,0,0
TOT396,YEM061,2012-05-02,12.5,0,0,0
TOT397,PAKOB270,2012-05-05,9,0,0,2
TOT398,YEM062,2012-05-06,3,1,0,0
TOT399,YEM063,2012-05-10,8.5,0,0,0
TOT400,YEM064,2012-05-10,3,0,0,0
TOT401,YEM065,2012-05-12,6.5,0,0,0
TOT402,YEM066,2012-05-12,10,0,0,0
TOT403,YEM067,2012-05-12,8,0,0,0
TOT404,YEM068,2012-05-14,10,0,0,0
TOT405,YEM069,2012-05-14,6,0,0,0
TOT406,YEM070,2012-05-14,0,0,0,2
TOT407,YEM071,2012-05-15,28,20,0,20.5
TOT408,YEM072,2012-05-16,16,0,0,9.5
TOT409,YEM073,2012-05-17,2.5,0,0,1
TOT410,YEM074,2012-05-17,5.5,1,0,0
TOT411,YEM075,2012-05-19,4,0,0,0
TOT412,YEM076,2012-05-19,2,0,0,0
TOT413,YEM077,2012-05-20,4.5,0,0,0
TOT414,PAKOB271,2012-05-23,3,0,0,1.5
TOT415,PAKOB272,2012-05-24,8.5,4,0,3.5
TOT416,PAKOB273,2012-05-26,2.5,0,0,1.5
TOT417,YEM078,2012-05-28,4,1,0,4
TOT418,YEM079,2012-05-28,5,0,0,0
TOT419,PAKOB274,2012-05-28,7,0,0,4
TOT420,PAKOB275,2012-05-28,3.5,0,0,0
TOT421,YEM080,2012-06-01,11.5,0,0,0
TOT422,PAKOB276,2012-06-02,3,0,0,0
TOT423,PAKOB277,2012-06-03,5,0,0,7
TOT424,PAKOB278,2012-06-04,16,3,0,4.5
TOT425,YEM081,2012-06-07,2,0,0,7
TOT426,YEM082,2012-06-07,3,0,0,0
TOT427,YEM083,2012-06-07,5,0,0,3
TOT428,YEM084,2012-06-11,16,0,0,0
TOT429,YEM085,2012-06-13,14,0,0,1
TOT430,YEM086,2012-06-13,9,0,0,0
TOT431,PAKOB279,2012-06-13,3,0,0,0
TOT432,PAKOB280,2012-06-14,2.5,0,0,2.5
TOT433,YEM087,2012-06-15,5,0,0,2
TOT434,YEM088,2012-06-15,6,6,5,4.5
TOT435,YEM089,2012-06-19,3,0,0,0
TOT436,YEM090,2012-06-20,1,1,0,0
TOT437,YEM091,2012-06-20,17.5,0,0,6
TOT438,YEM092,2012-06-25,3,0,0,0
TOT439,PAKOB281,2012-06-26,5.5,0,0,4.5
TOT440,PAKOB282,2012-07-01,7.5,0,0,2.5
TOT441,YEM093,2012-07-03,3.5,0,0,2
TOT442,YEM094,2012-07-04,8,0,0,7
TOT443,PAKOB283,2012-07-06,18.5,10.5,0,12
TOT444,YEM095,2012-07-23,5,0,0,0
TOT445,PAKOB284,2012-07-23,12.5,10,0,6.5
TOT446,PAKOB285,2012-07-29,5.5,1.5,0,4
TOT447,YEM048,2012-08-04,16,0,0,0
TOT448,YEM096,2012-08-04,4,0,0,2
TOT449,YEM097,2012-08-06,7,0,0,0
TOT450,YEM098,2012-08-07,2.5,0,0,2
TOT451,PAKOB286,2012-08-18,8.5,1,0,5.5
TOT452,PAKOB287,2012-08-19,5.5,0,0,2.5
TOT453,PAKOB288,2012-08-19,2.5,0,0,2
TOT454,PAKOB289,2012-08-21,14.5,2,1,2
TOT455,PAKOB290,2012-08-24,17.5,0,0,9
TOT456,PAKOB291,2012-08-24,0,0,0,0
TOT457,PAKOB292,2012-08-24,0,0,0,0
TOT458,YEM099,2012-08-28,2.5,0,0,0
TOT459,YEM100,2012-08-29,5,2,0,0
TOT460,YEM101,2012-08-31,8,0,0,0
TOT461,PAKOB293,2012-09-01,5,0,0,2.5
TOT462,YEM102,2012-09-02,12,12,3,7.5
TOT463,YEM103,2012-09-05,5,2.5,0,3
TOT464,YEM104,2012-09-10,10.5,0,0,3
TOT465,YEM105,2012-09-20,3,0,0,3
TOT466,PAKOB294,2012-09-21,3.5,0,0,2.5
TOT467,PAKOB295,2012-09-24,5.5,0,0,2
TOT468,PAKOB296,2012-10-01,3,0,0,0
TOT469,YEM106,2012-10-04,4.5,0,0,3
TOT470,PAKOB297,2012-10-10,4.5,0,0,3
TOT471,PAKOB298,2012-10-11,21,1,0,10
TOT472,YEM107,2012-10-18,8,0,0,0
TOT473,YEM108,2012-10-21,4,0,0,0
TOT474,PAKOB299,2012-10-24,1,1,0,7.5
TOT475,YEM109,2012-10-28,4,0,0,1
TOT476,YEM110,2012-11-07,2,0,0,2.5
TOT477,PAKOB300,2012-11-29,2.5,0,0,3.5
TOT478,PAKOB301,2012-12-01,2.5,0,0,3
TOT479,PAKOB302,2012-12-06,6.5,1,0,3.5
TOT480,PAKOB303,2012-12-09,3,1.5,0,0
TOT481,PAKOB304,2012-12-21,4.5,0,0,2
TOT482,YEM111,2012-12-24,2.5,0,0,3
TOT483,YEM112,2012-12-24,5,0,0,1
TOT484,YEM113,2012-12-28,2.5,0,0,0.5
TOT485,YEM114,2012-12-29,3.5,0,0,1
